链接,文件名
http://chinajob.mohrss.gov.cn/c/2022-05-17/350123.shtml,国务院办公厅印发《关于进一步做好高校毕业生等青年就业创业工作的通知》
http://chinajob.mohrss.gov.cn/c/2022-05-13/350102.shtml,人力资源社会保障部办公厅 中国残联办公厅关于开展残疾人就业帮扶活动的通知（人社厅函〔2022〕74号）
http://chinajob.mohrss.gov.cnhttp://www.mohrss.gov.cn/xxgk2020/fdzdgknr/qt/gztz/202205/t20220510_447105.html,人力资源社会保障部办公厅关于加快推进 职业技能培训信息化建设有关工作的通知
http://chinajob.mohrss.gov.cn/c/2022-05-10/349848.shtml,人力资源社会保障部办公厅 中央网信办秘书局关于开展技术技能类“山寨证书” 网络治理工作的通知
http://chinajob.mohrss.gov.cn/c/2022-05-10/349847.shtml,国家新闻出版署、人力资源社会保障部等部门印发《新闻专业技术人员继续教育暂行规定》
http://chinajob.mohrss.gov.cn/c/2022-05-10/349846.shtml,人力资源社会保障部关于开展技术技能类“山寨证书”专项治理工作的通知 （人社部函〔2022〕25号）
http://chinajob.mohrss.gov.cn/c/2022-05-10/349849.shtml,国务院办公厅关于印发促进残疾人  就业三年行动方案（2022—2024年）的通知 （国办发〔2022〕6号）
http://chinajob.mohrss.gov.cn/c/2022-05-10/349844.shtml,国务院根治拖欠农民工工资工作领导小组办公室关于印发《2021年度保障农民工工资支付工作考核细则》的通知（国治欠办发﹝2022﹞3号）
http://chinajob.mohrss.gov.cn/c/2022-05-10/349843.shtml,人力资源社会保障部 最高人民法院 关于劳动人事争议仲裁与诉讼衔接有关问题的意见（一）（人社部发〔2022〕9号）
http://chinajob.mohrss.gov.cn/c/2022-02-22/343601.shtml,人力资源社会保障部发布《社会保险基金行政监督办法》
http://chinajob.mohrss.gov.cn/c/2022-02-22/343602.shtml,人力资源社会保障部社会保险基金监管局负责人解答《社会保险基金行政监督办法》有关问题
http://chinajob.mohrss.gov.cn/c/2022-01-30/340897.shtml,江苏省人力资源社会保障厅关于印发江苏省企业职工基本养老保险实施办法的通知（苏人社规〔2022〕1号）
http://chinajob.mohrss.gov.cn/c/2022-01-30/340878.shtml,人力资源社会保障部关于修改部分规章的决定（人社部令第47号）
http://chinajob.mohrss.gov.cn/c/2022-01-30/340877.shtml,人力资源社会保障部关于废止《社会保险费申报缴纳管理规定》的决定（人社部令第46号）
http://chinajob.mohrss.gov.cn/c/2022-01-25/339948.shtml,人力资源社会保障部 工业和信息化部  民政部 交通运输部 国家乡村振兴局  全国总工会 共青团中央 全国妇联关于开展2022年春风行动的通知（人社部函〔2022〕5号）
http://chinajob.mohrss.gov.cn/c/2022-01-21/339716.shtml,最高人民法院办公厅 人力资源社会保障部办公厅关于建立劳动人事争议“总对总”在线诉调对接机制的通知（法办〔2022〕3号）
http://chinajob.mohrss.gov.cn/c/2022-01-11/338707.shtml,北京市人力资源和社会保障局 北京市财政局 关于促进本市农村劳动力就业参保有关问题的通知 （京人社就发〔2022〕1号）
http://chinajob.mohrss.gov.cn/c/2022-01-05/338175.shtml,人力资源社会保障部 国家乡村振兴局 中国残疾人联合会关于开展2022年就业援助月专项活动的通知（人社部函〔2021〕177号）
http://chinajob.mohrss.gov.cn/c/2022-01-05/338162.shtml,人力资源社会保障部 教育部 发展改革委 财政部关于印发“十四五”职业技能培训规划的通知（人社部发〔2021〕102号）
http://chinajob.mohrss.gov.cn/c/2021-12-30/337730.shtml,吉林省关于在全省推广应用电子劳动合同的通知（吉人社联〔2021〕175号　）
http://chinajob.mohrss.gov.cn/c/2021-12-29/337253.shtml,人力资源社会保障部办公厅 财政部办公厅关于畅通失业保险关系跨省转移接续的通知（人社厅发〔2021〕85号）
http://chinajob.mohrss.gov.cn/c/2021-12-29/337247.shtml,人力资源社会保障部办公厅 国务院国资委办公厅 教育部办公厅关于开展第十一届中央企业面向西藏青海新疆高校毕业生专场招聘活动的通知（人社厅函【2021】150号）
http://chinajob.mohrss.gov.cn/c/2021-12-29/337237.shtml,人力资源社会保障部办公厅关于推行专业技术人员职业资格电子证书的通知（人社厅发〔2021〕97号）
http://chinajob.mohrss.gov.cn/c/2021-12-29/337238.shtml,人力资源社会保障部 国家开发银行关于开展开发性金融支持劳务协作有关事项的通知（人社部发【2021】103号）
http://chinajob.mohrss.gov.cn/c/2021-12-29/337240.shtml,人力资源社会保障部 教育部 发展改革委 财政部 关于印发“十四五”职业技能培训规划的通知（人社部发〔2021〕102号）
http://chinajob.mohrss.gov.cn/c/2021-12-29/337242.shtml,人力资源社会保障部 国家乡村振兴局关于加强国家乡村振兴重点帮扶县人力资源社会保障帮扶工作的意见（人社部发〔2021〕94号）
http://chinajob.mohrss.gov.cn/c/2021-12-08/334495.shtml,人力资源社会保障部办公厅关于撤销2项境外职业资格境内注册资质的通知（人社厅发〔2021〕93号）
http://chinajob.mohrss.gov.cn/c/2021-12-03/333880.shtml,国家医保局 人力资源社会保障部关于印发《国家基本医疗保险、工伤保险和生育保险药品目录(2021年)》的通知（医保发〔2021〕50号）
http://chinajob.mohrss.gov.cn/c/2021-11-23/331913.shtml,江西省关于2021年调整因工致残人员伤残津贴等定期待遇的通知（赣人社发〔2021〕29号）
http://chinajob.mohrss.gov.cn/c/2021-11-24/331904.shtml,吉林省关于印发《吉林省工伤认定和劳动能力鉴定监督机制实施办法》的通知（吉人社规﹝2021﹞1号）
http://chinajob.mohrss.gov.cn/c/2021-11-19/331180.shtml,拖欠农民工工资失信联合惩戒对象名单管理暂行办法 
http://chinajob.mohrss.gov.cn/c/2021-11-11/329914.shtml,人力资源社会保障部关于印发技工教育“十四五”规划的通知（人社部发〔2021〕86号）
http://chinajob.mohrss.gov.cn/c/2021-11-01/328822.shtml,国务院根治拖欠农民工工资工作领导小组办公室关于开展根治欠薪冬季专项行动的通知（人社部明电〔2021〕12号）
http://chinajob.mohrss.gov.cn/c/2021-10-26/327776.shtml,人力资源社会保障部 国家发展改革委 民政部 财政部关于实施提升就业服务质量工程的通知（人社部发【2021】80号）
http://chinajob.mohrss.gov.cn/c/2021-10-22/327368.shtml,上海市人力资源和社会保障局等七部门关于印发《关于推进本市职业技能竞赛体系建设的若干意见》的通知（沪人社职〔2021〕359号）
http://chinajob.mohrss.gov.cn/c/2021-10-22/327367.shtml,人力资源社会保障部 民政部 退役军人事务部 全国总工会 全国工商联关于开展2021年金秋招聘月活动的通知（人社部函【2021】134号）
http://chinajob.mohrss.gov.cn/c/2021-10-13/326719.shtml,国务院办公厅关于进一步支持大学生创新创业的指导意见（国办发〔2021〕35号）
http://chinajob.mohrss.gov.cn/c/2021-10-11/326551.shtml,人力资源社会保障部 财政部 工业和信息化部科技部 教育部 中国科学院关于印发专业技术人才知识更新工程实施方案的通知（人社部发〔2021〕73号）
http://chinajob.mohrss.gov.cn/c/2021-10-08/325775.shtml,人力资源社会保障部 财政部 国家税务总局 国务院港澳事务办公室关于支持港澳青年在粤港澳大湾区就业创业的实施意见 （人社部发[2021]75号）
http://chinajob.mohrss.gov.cn/c/2021-09-28/325704.shtml,上海市关于延长部分就业创业类行政规范性文件有效期的通知（沪人社规〔2021〕7号）
http://chinajob.mohrss.gov.cn/c/2021-09-28/325685.shtml,上海市关于印发《上海市集体合同审查办法》的通知（沪人社规〔2021〕26号）
http://chinajob.mohrss.gov.cn/c/2021-09-28/325678.shtml,北京市人力资源和社会保障局 北京市住房和城乡建设委员会 北京市交通委员会 北京市水务局 北京市园林绿化局 中国银行保险监督管理委员会北京监管局 关于印发《北京市工程建设领域农民工工资保证金实施办法》的通知（京人社监发〔2021〕36号）
http://chinajob.mohrss.gov.cn/c/2021-09-28/325674.shtml,人力资源社会保障部关于《电子商务师国家职业技能标准（征求意见稿）》等39个职业技能标准公开征求意见的通知
http://chinajob.mohrss.gov.cn/c/2021-09-26/325607.shtml,中国就业培训技术指导中心关于征集遴选优质线上职业技能培训平台及数字资源的通告（中就培函〔2021〕56号）
http://chinajob.mohrss.gov.cnhttp://www.gov.cn/zhengce/content/2021-08/27/content_5633714.htm,国务院关于印发  “十四五”就业促进规划的通知（国发〔2021〕14号）
http://chinajob.mohrss.gov.cn/c/2021-09-09/322743.shtml,人力资源社会保障部 财政部关于拓宽职业技能培训资金使用范围提升使用效能的通知（人社部发〔2021〕69号）
http://chinajob.mohrss.gov.cn/c/2021-09-09/322744.shtml,人力资源社会保障部 住房和城乡建设部 交通运输部 水利部 银保监会 铁路局 民航局 关于印发《工程建设领域农民工工资保证金规定》的通知（人社部发〔2021〕65号）
http://chinajob.mohrss.gov.cn/c/2021-09-09/322745.shtml,人力资源社会保障部 国家发展改革委 财政部关于深化技工院校改革 大力发展技工教育的意见（人社部发〔2021〕30号）
http://chinajob.mohrss.gov.cn/c/2021-09-09/322746.shtml,人力资源社会保障部关于开展2021年高校毕业生就业服务行动的通知（人社厅明电【2021】10号）
http://chinajob.mohrss.gov.cn/c/2021-09-07/322530.shtml,人力资源社会保障部、国家发展改革委等20部门关于劳务品牌建设的指导意见（人社部发〔2021〕66号）
http://chinajob.mohrss.gov.cn/c/2021-08-23/321474.shtml,人力资源社会保障部 民政部 财政部 国家税务总局 国家乡村振兴局 中国残疾人联合会 关于巩固拓展社会保险扶贫成果助力全面实施乡村振兴战略的通知（人社部发〔2021〕64号）
http://chinajob.mohrss.gov.cn/c/2021-08-16/320562.shtml,人力资源社会保障部关于举办全国新职业技术技能大赛的通知（人社部函〔2021〕110号）
http://chinajob.mohrss.gov.cn/c/2021-08-06/319212.shtml,内蒙古自治区关于举办第二届全国技工院校学生创业创新大赛内蒙古自治区选拔赛的通知（内人社办发〔2021〕133号）
http://chinajob.mohrss.gov.cn/c/2021-08-06/319202.shtml,上海市关于本市社会培训评价组织开展社会化职业技能等级认定有关信息的公告（沪职鉴中心〔2021〕12号）
http://chinajob.mohrss.gov.cn/c/2021-08-06/319000.shtml,浙江省人力资源和社会保障厅关于印发《浙江省高层次创新型人才职称“直通车”评审办法》的通知（浙人社发〔2021〕37号）
http://chinajob.mohrss.gov.cn/c/2021-08-05/319087.shtml,海南省人力资源和社会保障厅 海南省财政厅 海南省国有资产监督管理委员会 国家税务总局 海南省税务局关于企业职工基本养老保险费补缴有关问题的通知（琼人社规〔2021〕5号）
http://chinajob.mohrss.gov.cn/c/2021-08-02/318408.shtml,海南省人力资源和社会保障厅海南省发展和改革委员会 海南省教育厅海南省财政厅 海南省军区政治工作局关于延续实施部分减负稳岗扩就业政策措施的通知（琼人社发〔2021〕87号）
http://chinajob.mohrss.gov.cn/c/2021-07-23/316820.shtml,人力资源社会保障部 国家发展改革委 交通运输部 应急部 市场监管总局 国家医保局 最高人民法院 全国总工会关于维护新就业形态劳动者劳动保障权益的指导意见（人社部发〔2021〕56号）
http://chinajob.mohrss.gov.cn/c/2021-07-20/315881.shtml,人力资源社会保障部办公厅 国家发展改革委办公厅 国家乡村振兴局综合司关于开展易地扶贫搬迁安置区就业协作帮扶专项活动的通知（人社厅函〔2021〕98号）
http://chinajob.mohrss.gov.cn/c/2021-07-16/315319.shtml,人力资源社会保障部办公厅关于发布《电子劳动合同订立指引》的通知（人社厅发〔2021〕54号）
http://chinajob.mohrss.gov.cn/c/2021-07-16/315297.shtml,北京市人力资源和社会保障局 关于印发《关于进一步增强本市自贸区内 企业用工灵活性的若干措施》的通知（京人社劳发〔2021〕24号）
http://chinajob.mohrss.gov.cn/c/2021-07-16/315296.shtml,北京市人力资源和社会保障局 北京市财政局 北京市发展和改革委员会 北京市经济和信息化局 关于延续实施失业保险稳岗返还政策的通知（京人社就发〔2021〕23号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313760.shtml,陕西省人力资源和社会保障厅  关于发布2021年度企业工资指导线的通知（陕人社发〔2021〕16号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313757.shtml,陕西省人力资源和社会保障厅 陕西省发展和改革委员会 陕西省教育厅 陕西省财政厅 陕西省军区动员局  关于延续实施部分减负稳岗扩就业 政策措施的通知（陕人社发〔2021〕15号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313755.shtml,陕西省人力资源和社会保障厅 陕西省财政厅  关于延续失业保险稳岗返还及扩围政策有关问题的通知（陕人社发〔2021〕14号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313705.shtml,上海市关于调整本市失业保险金支付标准的通知（沪人社规〔2021〕21号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313707.shtml,上海市关于调整本市工伤人员伤残津贴和生活护理费标准的通知（沪人社规〔2021〕19号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313711.shtml,上海市关于调整本市最低工资标准的通知（沪人社规〔2021〕18号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313713.shtml,上海市关于本市2021年办理申领基本养老金手续的企业参保人员计发基本养老金的补充通知（沪人社规〔2021〕17号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313709.shtml,上海市人力资源和社会保障局等四部门关于做好本市公益性岗位补贴工作有关事项的通知（沪人社规〔2021〕23号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313758.shtml,山东省人力资源和社会保障厅关于做好2021届离校未就业高校毕业生  信息衔接等有关服务工作的通知
http://chinajob.mohrss.gov.cn/c/2021-07-09/313759.shtml,辽宁省关于印发《辽宁省人力资源和社会保障厅辽宁省总工会劳动争议调裁对接工作规则》的通知
http://chinajob.mohrss.gov.cn/c/2021-07-09/313753.shtml,河南省人力资源和社会保障厅关于增补河南省工伤保险医疗转诊机构的通知（ 豫人社办函 〔2021〕111号）
http://chinajob.mohrss.gov.cn/c/2021-07-08/313469.shtml,贵州省人力资源和社会保障厅 贵州省财政厅关于2021年调整退休人员基本养老金的通知（黔人社发〔2021〕6号）
http://chinajob.mohrss.gov.cn/c/2021-07-08/313466.shtml,贵州省人力资源社会保障厅等五部门关于延续实施若干减负稳岗扩就业政策措施的通知（黔人社发〔2021〕10号）
http://chinajob.mohrss.gov.cn/c/2021-07-05/312584.shtml,人力资源社会保障部 国家乡村振兴局关于印发《国家乡村振兴重点帮扶地区职业技能提升工程实施方案》的通知（人社部发〔2021〕45号）
http://chinajob.mohrss.gov.cn/c/2021-06-30/311949.shtml,重庆市人力资源和社会保障局重庆市财政局关于2021年调整退休人员基本养老金的通知（渝人社发〔2021〕22号）
http://chinajob.mohrss.gov.cn/c/2021-06-25/311236.shtml,人力资源社会保障部办公厅 国家乡村振兴局综合司 全国妇联办公厅关于开展家政服务劳务对接助力乡村振兴行动的通知（人社厅发〔2021〕46号）
http://chinajob.mohrss.gov.cn/c/2021-06-24/311039.shtml,吉林省关于2021年调整退休人员基本养老金的通知（吉人社联〔2021〕58 号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310615.shtml,国家医保局 财政部 国家税务总局关于做好2021年城乡居民基本医疗保障工作的通知（医保发〔2021〕32号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310384.shtml,江苏省人力资源社会保障厅 省财政厅 关于2021年调整退休人员基本养老金的通知（苏人社发〔2021〕46号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310382.shtml,江苏省人力资源社会保障厅等十五部门关于印发《江苏省公益性岗位开发管理办法》的通知（苏人社规〔2021〕3号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310366.shtml,北京市人力资源和社会保障局 北京市财政局 关于深入推进职业技能提升行动“互联网+职业技能培训”工作的通知（京人社能发〔2021〕14号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310365.shtml,北京市人力资源和社会保障局 北京市财政局 关于2021年调整本市退休人员基本养老金的通知（京人社养发〔2021〕16号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310362.shtml,北京市人力资源和社会保障局 关于调整失业保险金发放标准的通告（京人社发〔2021〕5号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310361.shtml,北京市人力资源和社会保障局 关于调整北京市2021年最低工资标准的通知（京人社劳发〔2021〕77号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310360.shtml,北京市关于合并申报2021年度“五险一金”缴费工资有关问题的通知（京人社保发〔2021〕18号）
http://chinajob.mohrss.gov.cn/c/2021-06-15/309493.shtml,安徽省关于2021年调整退休人员基本养老金的通知（皖人社发〔2021〕6号）
http://chinajob.mohrss.gov.cn/c/2021-06-15/309491.shtml,福建省人力资源和社会保障厅 福建省农业农村厅关于加强茶产业职业技能提升十条措施的通知（闽人社文〔2021〕66号）
http://chinajob.mohrss.gov.cn/c/2021-06-09/308880.shtml,北京市关于印发《北京市工伤预防五年行动计划 实施方案（2021-2025年）》的通知（京人社工字〔2021〕28号）
http://chinajob.mohrss.gov.cn/c/2021-06-09/308877.shtml,人力资源社会保障部 国家乡村振兴局关于举办全国乡村振兴职业技能大赛的通知（人社部函〔2021〕63号）
http://chinajob.mohrss.gov.cn/c/2021-06-01/306684.shtml,福建省人力资源和社会保障厅关于印发《福建省职业技能电子培训券管理暂行办法》的通知（闽人社文〔2021〕64号）
http://chinajob.mohrss.gov.cn/c/2021-06-01/306570.shtml,河南省人力资源和社会保障厅 河南省财政厅 河南省农业农村厅关于举办2021年度“凤归中原”返乡创业大赛的通知
http://chinajob.mohrss.gov.cn/c/2021-05-31/306383.shtml,广西南宁：南宁市人力资源和社会保障局关于落实做好农民工创业就业补贴工作的通知（南人社规〔2021〕4号）
http://chinajob.mohrss.gov.cn/c/2021-06-02/306323.shtml,人力资源社会保障部 全国博士后管理委员会关于举办2021年全国博士后创新创业大赛的通知 （人社部函﹝2021﹞55号）
http://chinajob.mohrss.gov.cn/c/2021-06-02/306321.shtml,人力资源社会保障部 国家发展改革委 教育部 财政部 中央军委国防动员部关于延续实施部分减负稳岗扩就业政策措施的通知 （人社部发【2021】29号）
http://chinajob.mohrss.gov.cn/c/2021-05-28/306319.shtml,人力资源社会保障部 财政部 教育部关于扩大院校毕业年度毕业生参加职业技能培训有关政策范围的通知（人社部发〔2021〕31号）
http://chinajob.mohrss.gov.cn/c/2021-05-31/306147.shtml,西藏自治区关于认真贯彻执行最低工资标准有关问题的通知（藏人社办〔2021〕113号）
http://chinajob.mohrss.gov.cn/c/2021-05-28/304850.shtml,关于征集技工教育和职业培训领域课题选题的函（人社鉴函〔2021〕11号）
http://chinajob.mohrss.gov.cn/c/2021-05-31/303993.shtml,江西省关于组织开展2021年“振兴杯”职业技能大赛的通知（赣人社字〔2021〕 号）
